가	각	간	갇	갈	감	갑	값	갓	갔	강
5F6	갖	같	갚	개	객	갠	갤	갬	갭	갱	걀	거	걱	건	걷	걸
5F7	검	겁	것	겅	겉	게	겐	겔	겟	겠	겨	격	겪	견	결	
602		겸		겹	겼	경	곁	계	고	곡	곤	곧	골	곪	곰	곱
603	곳	공	과	곽	관	괄	광	괘	괜	괭	괴	괸	굉	교	구	국
604	군	굳	굴	굵	굶	굼	굽	굿	궁	권	궐	궤	귀	귓	규	균
605	귤	그	극	근	글	긁	금	급	긋	긍	기	긴	길	김	깃	깊
606	까	깍	깎	깐	깔	깜	깝	깡	깥	깨	깰	꺼	꺽	꺾	껌	껍
607	껑	께	껴	꼇	꼬	꼭	꼰	꼴	꼼	꼽	꽁	꽂	꽃	꽈	꽉	
614	꽤	꽹	꾀	꾜	꾸	꾹	꾼	꿀	꿇	꿈	꿔	꿰	뀌	끄	끈	끊
615	끌	끔	끗	끝	끼	낀	낄	낌	나	낙	낚	난	날	낡	남	납
624	낫	났	낭	낮	낯	낱	낳	내	낸	낼	냄	냅	냇	냈	냉	냐
625	냥	너	넉	넋	넌	널	넓	넘	넝	넣	네	넥	넨	넬	넷	녀
634	녁	년	념	녔	녕	녘	노	녹	논	놀	놈	놉	놋	농	높	놓
635	놨	뇌	뇨	뇽	누	눈	눌	눠	뉘	뉴	늄	느	늑	는	늘	늙
644	늠	능	늦	늪	늬	니	닉	닌	닐	님	닙	닝	다	닥	닦	단
645	닫	달	닭	닮	닳	담	답	닷	당	닻	닿	대	댁	댄	댈	댐
654	댓	댕	더	덕	던	덜	덤	덥	덧	덩	덫	덮	데	덴	델	뎃
655	뎅	도	독	돈	돋	돌	돔	돕	동	돼	됐	되	된	될	됨	됩
664	두	둑	둔	둘	둠	둡	둥	둬	뒀	뒤	뒷	듀	드	득	든	듣
665	들	듬	듭	듯	등	디	딕	딘	딛	딜	딤	딥	딧	딩	딪	따
674	딱	딴	딸	땀	땅	때	땐	땜	땡	떠	떡	떤	떨	떫	떴	떻
